N,ImpTree_Amr,CRR
10,0.100175,0.105441
15,0.09869939999999999,0.105441
20,0.100626,0.105441
25,0.104553,0.105441
30,0.08901510000000001,0.105441
35,0.08999839999999999,0.105441
40,0.103683,0.105441
45,0.09006669999999999,0.105441
50,0.0976318,0.105441
55,0.089771,0.105441
60,0.0923602,0.105441
65,0.0896919,0.105441
70,0.09215880000000001,0.105441
75,0.08878660000000001,0.105441
80,0.09217280000000001,0.105441
85,0.0911145,0.105441
90,0.0922072,0.105441
95,0.0917374,0.105441
100,0.0922752,0.105441
105,0.0939972,0.105441
110,0.0873067,0.105441
115,0.0942154,0.105441
120,0.09075319999999999,0.105441
125,0.09417660000000001,0.105441
130,0.09232660000000001,0.105441
135,0.09443710000000001,0.105441
140,0.09268839999999999,0.105441
145,0.0942329,0.105441
150,0.09296549999999999,0.105441
155,0.0945105,0.105441
160,0.0901059,0.105441
165,0.0880345,0.105441
170,0.0930373,0.105441
175,0.0878728,0.105441
180,0.088488,0.105441
185,0.0956045,0.105441
190,0.09738,0.105441
195,0.09597180000000001,0.105441
200,0.09554800000000001,0.105441
205,0.0962215,0.105441
210,0.0976282,0.105441
215,0.08996269999999999,0.105441
220,0.0946542,0.105441
225,0.096461,0.105441
230,0.0977455,0.105441
235,0.09309289999999999,0.105441
240,0.0798841,0.105441
245,0.0894796,0.105441
250,0.0865786,0.105441
255,0.0873207,0.105441
260,0.0997097,0.105441
265,0.08045980000000001,0.105441
270,0.0995381,0.105441
275,0.101074,0.105441
280,0.0982155,0.105441
285,0.097085,0.105441
290,0.0985679,0.105441
295,0.099335,0.105441
300,0.100231,0.105441
305,0.0971331,0.105441
