N , ImpTree ,BS Price  Error 
10,0.0996086,0.105424,-0.00581576
15,0.0986994,0.105424,-0.00672503
20,0.100626,0.105424,-0.00479873
25,0.104553,0.105424,-0.000871062
30,0.0890151,0.105424,-0.0164093
35,0.0899984,0.105424,-0.015426
40,0.103683,0.105424,-0.00174166
45,0.0900667,0.105424,-0.0153577
50,0.0976318,0.105424,-0.00779261
55,0.089771,0.105424,-0.0156534
60,0.0923602,0.105424,-0.0130642
65,0.0896919,0.105424,-0.0157325
70,0.0921588,0.105424,-0.0132656
75,0.0887866,0.105424,-0.0166378
80,0.0921728,0.105424,-0.0132516
85,0.0911145,0.105424,-0.0143099
90,0.0922072,0.105424,-0.0132171
95,0.0917374,0.105424,-0.013687
100,0.0922752,0.105424,-0.0131492
105,0.0939972,0.105424,-0.0114271
110,0.0873067,0.105424,-0.0181177
115,0.0942154,0.105424,-0.0112089
120,0.0907532,0.105424,-0.0146712
125,0.0941766,0.105424,-0.0112478
130,0.0923266,0.105424,-0.0130978
135,0.0944371,0.105424,-0.0109873
140,0.0926884,0.105424,-0.012736
145,0.0942329,0.105424,-0.0111915
150,0.0929655,0.105424,-0.0124589
155,0.0945105,0.105424,-0.0109139
160,0.0901059,0.105424,-0.0153185
165,0.0880345,0.105424,-0.0173899
170,0.0930373,0.105424,-0.0123871
175,0.0878728,0.105424,-0.0175516
180,0.088488,0.105424,-0.0169364
185,0.0956045,0.105424,-0.0098199
190,0.09738,0.105424,-0.00804434
195,0.0959718,0.105424,-0.00945261
200,0.095548,0.105424,-0.00987643
205,0.0962215,0.105424,-0.00920286
210,0.0976282,0.105424,-0.00779623
215,0.0899627,0.105424,-0.0154617
220,0.0946542,0.105424,-0.0107702
225,0.096461,0.105424,-0.00896343
230,0.0977455,0.105424,-0.00767885
235,0.0930929,0.105424,-0.0123315
240,0.0798841,0.105424,-0.0255403
245,0.0894796,0.105424,-0.0159447
250,0.0865786,0.105424,-0.0188458
255,0.0873207,0.105424,-0.0181037
260,0.0997097,0.105424,-0.00571469
265,0.0804598,0.105424,-0.0249646
270,0.0995381,0.105424,-0.00588631
275,0.101074,0.105424,-0.00435012
280,0.0982155,0.105424,-0.00720891
285,0.097085,0.105424,-0.00833939
290,0.0985679,0.105424,-0.00685651
295,0.099335,0.105424,-0.00608937
300,0.100231,0.105424,-0.00519356
305,0.0971331,0.105424,-0.00829134
310,0.0883787,0.105424,-0.0170456
315,0.0749631,0.105424,-0.0304613
320,0.0876092,0.105424,-0.0178151
325,0.0868099,0.105424,-0.0186145
330,0.0851439,0.105424,-0.0202805
335,0.0978865,0.105424,-0.00753791
340,0.0767222,0.105424,-0.0287022
345,0.0816595,0.105424,-0.0237649
350,0.0975009,0.105424,-0.0079235
355,0.0942423,0.105424,-0.0111821
360,0.0897521,0.105424,-0.0156723
365,0.0958099,0.105424,-0.00961448
370,0.103255,0.105424,-0.00216898
375,0.0957967,0.105424,-0.00962766
380,0.084273,0.105424,-0.0211514
385,0.085352,0.105424,-0.0200724
390,0.0757426,0.105424,-0.0296818
395,0.10306,0.105424,-0.00236432
400,0.102894,0.105424,-0.00253043
405,0.103199,0.105424,-0.00222497
410,0.0781749,0.105424,-0.0272495
415,0.090677,0.105424,-0.0147474
420,0.103375,0.105424,-0.00204962
425,0.0938165,0.105424,-0.0116079
430,0.0835305,0.105424,-0.0218939
435,0.102894,0.105424,-0.00253073
440,0.0912925,0.105424,-0.0141319
445,0.0833975,0.105424,-0.0220269
450,0.0991944,0.105424,-0.00622996
455,0.103163,0.105424,-0.00226124
460,0.1042,0.105424,-0.0012239
465,0.102386,0.105424,-0.00303806
470,0.101245,0.105424,-0.00417961
475,0.0999746,0.105424,-0.00544977
480,0.0960458,0.105424,-0.00937863
485,0.0748747,0.105424,-0.0305497
490,0.0732577,0.105424,-0.0321667
495,0.101331,0.105424,-0.00409303
500,nan,0.105424,nan
505,0.0939304,0.105424,-0.011494
